prob,cell_id
0.01,1006911
0.01,1006912
0.01,1006913
0.01,1006914
0.01,1010528
0.01,1010529
0.01,1014144
0.01,1028602
0.01,1028603
0.01,1046714
0.01,1046715
0.01,1046716
0.01,1050330
0.01,1050331
0.01,1050332
0.01,1053946
0.01,1053947
0.01,1053948
0.01,1057563
0.01,1057564
0.01,1057565
0.01,1061179
0.01,1061180
0.01,1061181
0.01,1064796
0.01,1064797
0.01,1064798
0.01,1068412
0.01,1068413
0.01,1068414
0.01,1068415
0.01,1072030
0.01,1072031
0.01,1075646
0.01,1075647
0.01,1075648
0.01,1079261
0.01,1079262
0.01,1079263
0.01,1079264
0.01,1079265
0.01,1079266
0.01,1079267
0.05,1090106
0.05,1093721
0.05,1093722
0.05,1097337
0.05,1097338
0.05,1097339
0.03,1082877
0.03,1086492
0.03,1086493
0.03,1090107
0.03,1090108
0.03,1090109
0.03,1090110
0.03,1093723
0.03,1093724
0.03,1093725
0.03,1093726
0.03,1097340
0.03,1097341
0.03,1097342
0.03,1097343
0.03,1082878
0.03,1082879
0.03,1082880
0.03,1086494
0.03,1086495
0.03,1086496
0.03,1086497
0.03,1090111
0.03,1090112
0.03,1090113
0.03,1093727
0.03,1093728
0.03,1093729
0.03,1093730
0.03,1097344
0.03,1097345
0.03,1097346
0.02,1082881
0.02,1082882
0.02,1082883
0.02,1082884
0.02,1086498
0.02,1086499
0.02,1086500
0.02,1090114
0.02,1090115
0.02,1093731
0.02,1097347
0.02,1097348
0.11,1108172
0.11,1108173
0.11,1111788
0.11,1111789
0.11,1111790
0.11,1115403
0.11,1115404
0.11,1115405
0.11,1115406
0.12,1104559
0.12,1104560
0.12,1108174
0.12,1108175
0.12,1108176
0.12,1108177
0.12,1111791
0.12,1111792
0.12,1115407
0.12,1115408
0.11,1100946
0.11,1100947
0.11,1100948
0.11,1104561
0.11,1104562
0.11,1104563
0.11,1104564
0.11,1108178
0.11,1108179
0.07,1100949
0.07,1100950
0.07,1100951
0.07,1104565
0.07,1104566
0.07,1104567
0.07,1104568
0.07,1108184
0.07,1111798
0.07,1111799
0.07,1111800
0.07,1111801
0.07,1115414
0.07,1115415
0.07,1115416
0.07,1115417
0.07,1100952
0.07,1100953
0.07,1100954
0.07,1100955
0.07,1104569
0.07,1104570
0.07,1104571
0.07,1104572
0.07,1108185
0.07,1108186
0.07,1108187
0.07,1111802
0.07,1111803
0.07,1115418
0.07,1115419
0.06,1100956
0.06,1100957
0.06,1100958
0.06,1104575
0.06,1108192
0.06,1100961
0.06,1100962
0.06,1100963
0.06,1104576
0.06,1104577
0.06,1104578
0.06,1104579
0.06,1108193
0.06,1108194
0.06,1108195
0.06,1108196
0.06,1111809
0.06,1111810
0.06,1111811
0.06,1111812
0.06,1115427
0.06,1115428
0.04,1100964
0.04,1100965
0.04,1104580
0.04,1104581
0.04,1115429
0.13,1133481
0.14,1119019
0.14,1122635
0.14,1126250
0.14,1126251
0.14,1129865
0.14,1129866
0.14,1129867
0.14,1129868
0.14,1133482
0.14,1133483
0.14,1133484
0.15,1119020
0.15,1119021
0.15,1119022
0.15,1122636
0.15,1122637
0.15,1126252
0.15,1126253
0.15,1126254
0.15,1129869
0.15,1129870
0.15,1129871
0.15,1133486
0.15,1133487
0.15,1133488
0.03,1126258
0.1,1119028
0.1,1119030
0.1,1122644
0.1,1122645
0.1,1122646
0.1,1126260
0.1,1126261
0.1,1126263
0.1,1133496
0.12,1119031
0.12,1119032
0.12,1119033
0.12,1119034
0.12,1122647
0.12,1122648
0.12,1122649
0.12,1122650
0.12,1126264
0.12,1126265
0.12,1126266
0.12,1126267
0.12,1129880
0.12,1129881
0.12,1129882
0.12,1133497
0.12,1133498
0.12,1133499
0.11,1119035
0.11,1122651
0.08,1122657
0.08,1122658
0.08,1126273
0.08,1126274
0.08,1129890
0.08,1129891
0.08,1133505
0.08,1133506
0.08,1133507
0.08,1119042
0.08,1119043
0.08,1119044
0.08,1119045
0.08,1122659
0.08,1122660
0.08,1122661
0.08,1126275
0.08,1126276
0.08,1126277
0.08,1126278
0.08,1129892
0.08,1129893
0.08,1129894
0.08,1133508
0.06,1119046
0.06,1122662
0.06,1126279
0.06,1129895
0.06,1129896
0.01,1144289
0.01,1144290
0.01,1144291
0.01,1144292
0.01,1147906
0.01,1147907
0.01,1147908
0.02,1144293
0.02,1144294
0.02,1144295
0.02,1144296
0.02,1147909
0.02,1147910
0.02,1147911
0.02,1147912
0.02,1151526
0.02,1151527
0.02,1151528
0.02,1151529
0.02,1155142
0.02,1155143
0.02,1155144
0.02,1155145
0.03,1144297
0.03,1144298
0.03,1144299
0.03,1144300
0.03,1147913
0.03,1147914
0.03,1147915
0.03,1147916
0.03,1151530
0.03,1151531
0.03,1151532
0.03,1155147
0.04,1144302
0.04,1144303
0.04,1147917
0.04,1147918
0.04,1147919
0.04,1147920
0.04,1151533
0.04,1151534
0.04,1151535
0.04,1151536
0.05,1144304
0.05,1144305
0.05,1144306
0.05,1144307
0.05,1147921
0.05,1147922
0.05,1147923
0.05,1147924
0.05,1151537
0.05,1151538
0.05,1151539
0.05,1151540
0.09,1144308
0.09,1144309
0.09,1147925
0.09,1147926
0.09,1147927
0.09,1151541
0.09,1151542
0.09,1151543
0.09,1151544
0.09,1155160
0.13,1147928
0.13,1147929
0.13,1147930
0.13,1147931
0.13,1151545
0.13,1151546
0.13,1151547
0.13,1151548
0.13,1155161
0.13,1155162
0.13,1155163
0.13,1155164
0.17,1147932
0.17,1147933
0.17,1147934
0.17,1147935
0.17,1151549
0.17,1151550
0.17,1151551
0.17,1155165
0.17,1155166
0.17,1155167
0.17,1155168
0.17,1144320
0.17,1147936
0.17,1147937
0.17,1147938
0.17,1147939
0.17,1151552
0.17,1151553
0.17,1151554
0.17,1151555
0.17,1155169
0.18,1144323
0.18,1144324
0.18,1144325
0.18,1144326
0.18,1147940
0.18,1147941
0.18,1147942
0.18,1151556
0.18,1151557
0.18,1151558
0.18,1151559
0.18,1155173
0.18,1155174
0.18,1155175
0.17,1137096
0.17,1137097
0.17,1140711
0.17,1140712
0.17,1140713
0.17,1144327
0.17,1144328
