prob,cell_id
0.01,1064796
0.01,1064797
0.01,1064798
0.01,1068412
0.01,1068413
0.01,1068414
0.01,1068415
0.01,1072030
0.01,1072031
0.01,1075646
0.01,1075647
0.01,1075648
0.01,1079261
0.01,1079262
0.01,1079263
0.01,1079264
0.02,1090106
0.02,1093721
0.02,1093722
0.02,1097337
0.02,1097338
0.02,1097339
0.02,1082877
0.02,1086492
0.02,1086493
0.02,1090107
0.02,1090108
0.02,1090109
0.02,1090110
0.02,1093723
0.02,1093724
0.02,1093725
0.02,1093726
0.02,1097340
0.02,1097341
0.02,1097342
0.02,1097343
0.02,1082878
0.02,1082879
0.02,1082880
0.02,1086494
0.02,1086495
0.02,1086496
0.02,1086497
0.02,1090111
0.02,1090112
0.02,1090113
0.02,1093727
0.02,1093728
0.02,1093729
0.02,1093730
0.02,1097344
0.02,1097345
0.02,1097346
0.01,1082881
0.01,1082882
0.01,1082883
0.01,1082884
0.01,1086498
0.01,1086499
0.01,1086500
0.01,1090114
0.01,1090115
0.01,1093731
0.01,1097347
0.01,1097348
0.05,1108172
0.05,1108173
0.05,1111788
0.05,1111789
0.05,1111790
0.05,1115403
0.05,1115404
0.05,1115405
0.05,1115406
0.06,1104559
0.06,1104560
0.06,1108174
0.06,1108175
0.06,1108176
0.06,1108177
0.06,1111791
0.06,1111792
0.06,1115407
0.06,1115408
0.06,1100946
0.06,1100947
0.06,1100948
0.06,1104561
0.06,1104562
0.06,1104563
0.06,1104564
0.06,1108178
0.06,1108179
0.04,1100949
0.04,1100950
0.04,1100951
0.04,1104565
0.04,1104566
0.04,1104567
0.04,1104568
0.04,1108184
0.04,1111798
0.04,1111799
0.04,1111800
0.04,1111801
0.04,1115414
0.04,1115415
0.04,1115416
0.04,1115417
0.04,1100952
0.04,1100953
0.04,1100954
0.04,1100955
0.04,1104569
0.04,1104570
0.04,1104571
0.04,1104572
0.04,1108185
0.04,1108186
0.04,1108187
0.04,1111802
0.04,1111803
0.04,1115418
0.04,1115419
0.04,1100956
0.04,1100957
0.04,1100958
0.04,1104575
0.04,1108192
0.04,1100961
0.04,1100962
0.04,1100963
0.04,1104576
0.04,1104577
0.04,1104578
0.04,1104579
0.04,1108193
0.04,1108194
0.04,1108195
0.04,1108196
0.04,1111809
0.04,1111810
0.04,1111811
0.04,1111812
0.04,1115427
0.04,1115428
0.03,1100964
0.03,1100965
0.03,1104580
0.03,1104581
0.03,1115429
0.04,1133481
0.05,1119019
0.05,1122635
0.05,1126250
0.05,1126251
0.05,1129865
0.05,1129866
0.05,1129867
0.05,1129868
0.05,1133482
0.05,1133483
0.05,1133484
0.06,1119020
0.06,1119021
0.06,1119022
0.06,1122636
0.06,1122637
0.06,1126252
0.06,1126253
0.06,1126254
0.06,1129869
0.06,1129870
0.06,1129871
0.06,1133486
0.06,1133487
0.06,1133488
0.07,1126258
0.07,1119028
0.07,1119030
0.07,1122644
0.07,1122645
0.07,1122646
0.07,1126260
0.07,1126261
0.07,1126263
0.07,1133496
0.06,1119031
0.06,1119032
0.06,1119033
0.06,1119034
0.06,1122647
0.06,1122648
0.06,1122649
0.06,1122650
0.06,1126264
0.06,1126265
0.06,1126266
0.06,1126267
0.06,1129880
0.06,1129881
0.06,1129882
0.06,1133497
0.06,1133498
0.06,1133499
0.05,1122657
0.05,1122658
0.05,1126273
0.05,1126274
0.05,1129890
0.05,1129891
0.05,1133505
0.05,1133506
0.05,1133507
0.05,1119042
0.05,1119043
0.05,1119044
0.05,1119045
0.05,1122659
0.05,1122660
0.05,1122661
0.05,1126275
0.05,1126276
0.05,1126277
0.05,1126278
0.05,1129892
0.05,1129893
0.05,1129894
0.05,1133508
0.04,1119046
0.04,1122662
0.04,1126279
0.04,1129895
0.04,1129896
0.03,1144320
0.03,1147936
0.03,1147937
0.03,1147938
0.03,1147939
0.03,1151552
0.03,1151553
0.03,1151554
0.03,1151555
0.03,1155169
0.05,1144323
0.05,1144324
0.05,1144325
0.05,1144326
0.05,1147940
0.05,1147941
0.05,1147942
0.05,1151556
0.05,1151557
0.05,1151558
0.05,1151559
0.05,1155173
0.05,1155174
0.05,1155175
0.02,1137096
0.02,1137097
0.02,1140711
0.02,1140712
0.02,1140713
0.02,1144327
0.02,1144328
0.02,1144329
0.02,1147943
0.02,1147944
0.02,1147945
0.02,1151560
0.02,1151561
0.02,1151562
0.02,1155178
0.06,1137098
0.06,1137099
0.06,1137100
0.06,1140714
0.06,1140717
0.06,1144334
0.08,1137102
0.08,1137103
0.08,1140718
0.09,1137112
0.09,1140728
0.09,1140729
0.09,1144344
0.09,1144345
0.09,1147960
0.09,1147961
0.09,1151576
0.09,1151577
0.09,1151578
0.09,1155192
0.09,1155193
0.09,1155194
0.08,1137113
0.08,1137114
0.08,1144346
0.08,1147962
0.07,1144353
0.07,1147969
0.07,1151584
0.07,1151585
0.07,1155200
0.07,1155201
0.07,1155202
0.07,1137121
0.07,1137122
0.07,1137123
0.07,1140737
0.07,1140738
0.07,1140739
0.07,1144354
0.07,1144355
0.07,1147970
0.07,1147971
0.07,1147972
0.07,1147973
0.07,1151586
0.07,1151587
0.07,1151588
0.07,1151589
0.07,1155203
0.07,1155204
0.07,1155205
0.07,1155206
0.07,1144357
0.07,1144358
0.07,1144359
0.07,1147974
0.07,1147975
0.07,1147976
0.07,1151590
0.07,1151591
0.07,1151592
0.07,1151593
0.07,1155207
0.07,1155208
0.07,1155209
0.07,1155210
0.06,1155211
0.1,1158807
0.1,1162423
0.1,1166039
0.1,1166040
0.1,1169655
0.1,1169656
0.1,1173271
0.1,1173272
0.1,1173273
0.1,1158808
0.1,1158809
